"headline","link","date_text","snippet","source","scraped_at"
"Singapore Airlines cargo flight bound for China turns around mid-air after technical issue","https://www.straitstimes.com/singapore/singapore-airlines-cargo-flight-bound-for-china-returns-to-changi-airport-after-technical-issue?ref=search-results","Oct 29, 2025, 9:00 PM","SINGAPORE - A Singapore Airlines cargo plane bound for Guangzhou, China, returned to Changi Airport on Oct 29 after more than two hours in the air over a technical issue.
In a media reply, the national carrier said SQ7824 turned back due to a technical issue. The airline did not provide details of the issue faced on board.
According to FlightAware, a flight data site, the plane departed at about 4.20pm.
The Boeing 747 aircraft was cruising at 39,000 feet about one hour after take-off when the crew began “squawking 7700”, which is the communications code for an emergency, aviation news site Air Live reported.
The plane turned around near Vietnam, and landed at Changi Airport at 6.45pm.","Straits_Times",2025-11-02 14:58:08.016873
"Singapore Airlines flight from Melbourne to Changi turns back after technical issue","https://www.straitstimes.com/singapore/singapore-airlines-flight-from-melbourne-to-changi-turns-back-after-technical-issue?ref=search-results","Oct 29, 2025, 3:57 PM","SINGAPORE – A Singapore Airlines (SIA) flight bound for the Republic from Melbourne returned to Melbourne Airport on Oct 29 after the aircraft experienced a technical issue while in the air.
In a media reply, the national carrier said Flight SQ228 returned to the Australian airport shortly after take-off, and that it had dumped fuel to land within the landing weight.
The airline did not provide details of the issue faced on board.
The Boeing 777, carrying 219 passengers and 17 crew members, landed uneventfully at 5.47pm local time (2.47pm in Singapore) on Oct 29, said SIA. The flight had departed at 4.35pm local time.
All passengers and crew disembarked normally, it added. The passengers were provided with meal vouchers.
The airline’s ground engineering team is trying to resolve the issue, said SIA.
“SIA sincerely apologises to all affected customers for any inconvenience caused.
“The safety of our customers and crew is always our top priority,” it said.
According to Flightradar24, a flight data site, the aircraft circled around the north of the Australian city before it headed back to the airport.
Several media outlets in Australia reported on the flight diversion, with one showing the aircraft landing safely at the airport.
“Shortly after take-off, the flight made the decision to return to Melbourne Airport due to a technical issue,” a Melbourne Airport spokesman told 7News.
“The plane landed under normal conditions... before taxiing safely to the gate.”
Witnesses called Melbourne news and talk station 3AW about the plane flying low over the eastern suburbs.
“It just flew over our house a few minutes ago. It was so low, you could see the wheels down and I waved at all the passengers as they went overhead. I’ve never seen a plane that low before. It was scary,” said a caller who identified himself as Sam.
“We saw it do a turn really low and I looked it up, it was (2km above us) dumping fuel and, yeah, redirecting back to Melbourne,” another caller named Gordon said.
Several people posted footage on social media of the plane flying with two white smoky trails emanating from the wings.
Facebook user All Areas Chauffeur Services posted a video of the plane, writing: “Was outside mowing the grass and heard a loud plane... Zooming in you can see half of the landing gear has failed to retract. I’m wondering if this was the issue.”
An average direct flight from Melbourne to Singapore takes about seven hours and 45 minutes.","Straits_Times",2025-11-02 14:58:14.149884
"‘Sick leave is not a crime’: Taiwan airline workers demand better welfare after flight attendant’s death","https://www.straitstimes.com/asia/east-asia/sick-leave-is-not-a-crime-taiwan-airline-workers-demand-better-welfare-after-stewardess-death?ref=search-results","21 hours ago","TAIPEI – The atmosphere at the usually buoyant Eva Air Marathon in Taipei was a little different in 2025. 
As 24,000 runners waited at the starting line outside the Presidential Office before dawn, dozens of people protested loudly at the side. ","Straits_Times",2025-11-02 14:58:19.617744
"Pakistan flag carrier resumes flights to Britain after five-year ban","https://www.straitstimes.com/asia/south-asia/pakistan-flag-carrier-resumes-flights-to-britain-after-five-year-ban?ref=search-results","Oct 25, 2025, 6:17 PM","ISLAMABAD – Pakistan’s state-owned airline resumed direct flights to Britain on Oct 25, after the British authorities had ended a five-year suspension imposed over aviation safety concerns.
The debt-ridden flag carrier Pakistan International Airlines (PIA) was barred from flying to Britain, the European Union and the United States in June 2020, a month after one of its Airbus A320 aircraft plunged into a Karachi neighbourhood, killing nearly 100 people.
The deadly crash was blamed on human error.
Britain lifted restrictions on Pakistani carriers in July after concluding that aviation safety standards were “satisfactory and in line with international norms”.
At a ceremony on Oct 25 at Islamabad International Airport, Pakistani Defence Minister Khawaja Asif said that the resumption of flights to Britain was a major milestone in restoring PIA’s credibility.
“After a long and difficult delay of five years, today the resumption of flights from Islamabad to Manchester is a feat we have achieved through our hard work and determination,” Mr Asif said.
He added that in the years since the British had imposed their ban, the Pakistani authorities overhauled pilot training, licensing, aircraft maintenance and safety protocols to meet international standards.
Beyond a twice-weekly route between Islamabad and Manchester, PIA plans to operate flights to London and Birmingham as well.
The European Union Aviation Safety Agency lifted its own ban on PIA in November 2024, allowing the airline to resume flights to Paris in January.
The flag carrier, which employs around 7,000 people, has long struggled with debt, mismanagement and regulatory issues.
The government has pledged to privatise the airline, though a deal collapsed in 2024 after a buyer reportedly offered far below the asking price.
Founded in 1955, PIA was once a symbol of national pride and rapid growth, but its reputation has eroded over decades of financial losses and safety lapses. AFP","Straits_Times",2025-11-02 14:58:25.899455
"Malaysia Airlines flight from KL to Sarawak experiences sudden loss of cabin pressure","https://www.straitstimes.com/asia/se-asia/sudden-loss-of-cabin-pressure-on-malaysia-airlines-flight-from-kl-to-sarawak?ref=search-results","Oct 21, 2025, 10:55 PM","PETALING JAYA – Malaysia Aviation Group (MAG) said it has commenced an investigation into a sudden cabin pressure issue aboard its flight MH2742 on Oct 21, which left passengers terrified.
MAG said in a press statement on Oct 21 that Malaysia Airlines Flight MH2742, en route from Kuala Lumpur to Bintulu, Sarawak, had experienced a sudden loss of cabin pressure mid-flight.
The operating crew initiated a controlled descent and deployed oxygen masks as part of standard safety procedures, the company said.
The aircraft landed safely at Bintulu Airport at 10.31am without any further incident.
“There were no safety concerns for passengers or crew at any time,” the press statement said. “Malaysia Airlines sincerely apologises for disrupting our passengers’ travel plans,” it added.
“The safety and well-being of our customers and crew remain our highest priority, and we are conducting a thorough review to understand the cause and to prevent recurrence.” THE STAR/ASIA NEWS NETWORK","Straits_Times",2025-11-02 14:58:31.503543
"Air China flight safely diverted to Shanghai after battery fire in cabin","https://www.straitstimes.com/asia/east-asia/air-china-flight-safely-diverted-to-shanghai-after-battery-fire-in-cabin?ref=search-results","Oct 18, 2025, 5:02 PM","BEIJING - A commercial passenger flight operated by Air China was safely diverted to Shanghai on Oct 18, after a battery stowed in a passenger’s carry-on luggage caught fire, the airline said.
The incident occurred aboard the national carrier’s daily flight from the eastern Chinese city of Hangzhou to Incheon International Airport, near Seoul, South Korea.
“A lithium battery spontaneously ignited in a passenger’s carry-on luggage stored in the overhead bin on Flight CA139,” the airline said in a statement on Chinese social media platform Weibo.
“The crew immediately handled the situation according to procedures, and no one was injured,” the statement said.
The plane was diverted for an unscheduled landing at Shanghai Pudong International Airport “to ensure flight safety”, it added.
Bright flames were seen coming from an overhead storage compartment in an image taken by a passenger and published by state-affiliated domestic media outlet Jimu News.
There was black smoke in the cabin, the image showed, and at least one passenger was seen trying to extinguish the blaze.
Data from tracking website Flightradar24 showed that the flight took off from Hangzhou at 9.47am local time.
It made a complete turn over the sea roughly equidistant from the eastern Chinese coast and Japan’s southern island of Kyushu, landing in Shanghai shortly after 11am. AFP","Straits_Times",2025-11-02 14:58:38.085125
"Storm that caused turbulence on Scoot flight in 2024 was not detected on weather radar","https://www.straitstimes.com/singapore/transport/turbulence-that-hit-scoot-flight-in-sept-2024-seriously-hurting-2-not-detected-on-weather-radar?ref=search-results","Oct 18, 2025, 12:00 PM","SINGAPORE – The turbulence that shook a Scoot flight bound for Guangzhou from Singapore in September 2024, seriously injuring two, was likely due to a storm cell that did not appear on the plane’s weather radar.
Flight TR100, carrying 339 passengers and headed for Guangzhou Baiyun International Airport, was hit by turbulence during its descent at about 8.40am on Sept 6, 2024. The seat-belt sign was off at the time.
Although Super Typhoon Yagi made landfall in Guangdong – of which Guangzhou is the capital – on the same day, it was far away and did not lead to the turbulence.
These details were made public in a Transport Safety Investigation Bureau (TSIB) report dated Oct 4. The TSIB, a department in the Ministry of Transport, classified the occurrence as an accident.
The storm cell, situated behind the Boeing 787-9 Dreamliner wide-body jet, was not detected by its weather radar, which is typically positioned at the nose of an aircraft to detect weather ahead.
The storm cell was also not visible from the cockpit windows.
The accident prompted Scoot to review its guidelines for operating in areas affected by typhoons, the report revealed.
Scoot’s updated guidelines state that seat-belt signs must be on from take-off until the point in a flight where an aircraft finishes its climb and transitions to cruising at its planned altitude. The sign must also be on from the point where a flight starts descending until landing.
Scoot also issued instructions on Oct 14, 2024, requiring flight and cabin crew to remind passengers to keep their seat belts fastened while seated and to avoid moving around when the signs are on, according to the report.
A new directive also emphasises the need for flight crew to ensure passengers and cabin crew remain seated during critical phases of flight, or when navigating near areas of poor weather conditions.
From Nov 1, 2024, the airline put the International Air Transport Association’s Turbulence Aware app on tablets or laptops used by pilots. The platform provides real-time data on turbulence.
Flight TR100 was a relatively smooth flight, with only patches of light turbulence, said the report, and its two pilots did not observe any bad weather on the radar or along the flight path.
At about 8am, one of the pilots switched off the seat-belt signs so passengers could use the toilets before descent, the report said.
As the weather radar remained clear, the pilot did not turn the seat-belt sign back on even as the plane began descending.
The aircraft had also not reached an altitude of 10,000 feet, at which point the flight crew would be required to turn on the seat-belt signs, the report noted.
At about 8.45am, when the aircraft was descending from an altitude of 18,700 feet, turbulence struck. The pilots switched on the seat-belt signs as soon as the turbulence was felt.
Eleven people were injured, including 10 of 11 cabin crew.
Two of them – a passenger and a cabin crew member – were seriously hurt. Nine cabin crew members had minor injuries.
The passenger underwent surgery at a hospital in Guangzhou for a fractured lumbar spinal bone in the lower back, while the crew member had right foot fractures and was operated on in Singapore.
In response to questions from The Straits Times, a Scoot spokeswoman said the airline “apologises to all customers for (their) experience on board flight TR100 on Sept 6, 2024, which encountered unexpected turbulence”.
She added: “The safety and well-being of our customers and staff are always Scoot’s top priority.”
Scoot will continue to review its operating procedures regularly and strengthen its safety protocols where appropriate, she said.
Meanwhile, in separate incidents, two private jets took off from Seletar Airport at night in 2024 while lined up on the edge of the runway, instead of the centre line.
The misaligned take-offs damaged runway lights and the jets themselves, according to a TSIB report dated Aug 27. TSIB classified both cases as serious incidents. Investigators found that the pilots had likely mistaken the lights on the right edge of the runway for the centre line while taking off.
The first incident on July 17, 2024, involved a Dassault Falcon 900EX jet bound for Muscat, Oman, operated by insurance and asset management company Allianz Se.
During take-off at about 9.22pm, the pilots heard a loud noise but continued the flight. After landing, damage to its nose landing gear, including a flat tyre and a protective door panel, was found.
A runway inspection in Singapore shortly after the flight took off found one damaged runway edge light near an adjoining taxiway, which connects the runway with other airport facilities.
Data from the aircraft’s flight recorder and airport CCTV showed that the jet had begun its take-off roll along the runway’s right edge.
A similar incident occurred less than three months later, on Oct 6, 2024, when a Bombardier Global 6000 jet operated by charter airline Luxaviation took off from the same runway bound for Bangalore, India.
After departure at 8.42pm, seven runway edge lights and one taxiway light were found damaged.
The aircraft landed safely, but checks revealed damage to its right main landing gear, including deep tyre cuts and hydraulic fluid leaks.
Investigators again found that the aircraft had rolled on the right-hand edge of the runway.
TSIB’s investigation pointed to reduced visibility and confusing visual cues as key factors in the misaligned take-offs.
Both incidents occurred at night, when the absence of natural light combined with the lack of runway centre-line lighting made it harder for pilots to orient themselves.
At the same time, bright white edge lights and the layout of a taxiway that leads into the runway may have visually misled the crews. Additionally, the paved area on the right side of the runway may have created a misleading impression of being positioned in the centre, the report said.
In the second incident, debris from the broken lights remained on the runway until after two other aircraft had landed.
Unlike Changi Airport, Seletar Airport does not have an automated Foreign Object Debris detection system and relies on visual reports and four daily manual inspections.
Changi Airport Group, which also manages Seletar Airport, has since issued safety notices reminding pilots to ensure proper alignment with the centre line.
The airport plans to shift the taxiway edge lights to reduce the likelihood of misalignment, with work expected to finish by the fourth quarter of 2025.
An airfield lighting system to detect failures will be in place by the first quarter of 2027. This will alert the runway inspection team to any faults and resulting debris.
TSIB also recommended that Seletar Airport adopt technologies to detect debris early.
Seletar Airport general manager Michael Lee told ST that safety is of utmost priority, and the airport’s infrastructure meets international standards and Singapore’s air navigation regulations.
“Notwithstanding (this), we have continued to actively review and enhance procedures in collaboration with airport partners and the pilots involved,” he said, adding that the airport remains committed to ensuring a safe environment for all users.
ST has contacted Allianz Se and Luxaviation for comment.","Straits_Times",2025-11-02 14:58:44.850262
"SIA Flight 301 diverted to Azerbaijan after unwell passenger requires emergency medical help","https://www.straitstimes.com/singapore/sia-flight-301-diverted-to-azerbaijan-after-unwell-passenger-requires-emergency-medical-help?ref=search-results","Oct 16, 2025, 6:14 PM","SINGAPORE - A Singapore Airlines (SIA) flight heading to Singapore from Manchester in Britain was diverted to Azerbaijan’s capital Baku on Oct 14 when a passenger suddenly became unwell.
SIA Flight SQ301, an Airbus A350-900 aircraft, was carrying 233 passengers and 18 crew members, the carrier said in response to queries from The Straits Times.
According to flight tracking website FlightRadar24, the flight left Manchester at about 11am local time (6pm Singapore time).
There was a medical emergency on board the flight when a passenger suddenly became unwell.
The person was “attended to by a medical professional during the flight, and subsequently brought to a hospital in Baku”, said an SIA spokesperson.
During the layover in Baku, passengers were served refreshments, and the flight departed the city’s Heydar Aliyev International Airport at 9.20pm local time on Oct 14 (1.20am on Oct 15, Singapore time), she added.
The flight arrived in Singapore at about 9.40am on Oct 15.
“We sincerely apologise to the affected customers for the inconvenience caused,” the spokesperson said.","Straits_Times",2025-11-02 14:58:50.500058
"Scoot to fly to Indonesia’s Labuan Bajo, Medan, Palembang and Semarang","https://www.straitstimes.com/singapore/scoot-to-fly-to-indonesias-labuan-bajo-medan-palembang-and-semarang?ref=search-results","Oct 15, 2025, 3:02 PM","SINGAPORE – Those looking to travel on a budget now have more options after Scoot announced four new routes in Indonesia – Labuan Bajo, Medan, Palembang and Semarang.
Flights to these cities will start progressively between December 2025 and February 2026, said the carrier on Oct 15.
With the changes, Scoot now operates flights to 83 destinations – including Singapore – up from 76 in August.
The carrier’s one-way economy-class fares start from $170 to Labuan Bajo, $108 to Medan, $129 to Palembang, and $125 to Semarang.
Tickets can be booked from Oct 15 via Scoot’s website and app.
For destinations like Medan, Scoot will fly daily flights there on the Airbus A320 family aircraft from Feb 1, 2026.
The company also announced more flights to regional cities, including Thailand’s Bangkok and Koh Samui, as well as Indonesia’s Bali, Manado, Surabaya, Yogyakarta and Jakarta.
Scoot said the higher number of flights is to support an anticipated demand for air travel during the upcoming year-end holiday periods.
From October, flights to Bangkok will increase from 39 to 42 times weekly, while those to Koh Samui will increase to 28 times weekly from December.
From December, Scoot will also increase its flight frequency to Penang from 21 to 28 every week.
Other destinations that will see increased flight frequencies include Malaysia’s Kota Kinabalu and Kuching, and Laos’ Vientiane.
In August, Scoot had also announced three new routes – to Thailand’s Chiang Rai, and Japan’s Okinawa and Haneda airports.
These changes will commence progressively between December and March 2026.","Straits_Times",2025-11-02 14:58:56.168307
"Singapore Airlines flight from Frankfurt turns back after technical issue","https://www.straitstimes.com/singapore/singapore-airlines-flight-from-frankfurt-turns-back-after-technical-issue?ref=search-results","Sep 26, 2025, 9:30 PM","SINGAPORE – A Singapore Airlines (SIA) flight bound for the Republic returned to Frankfurt Airport after the aircraft experienced a technical issue while in the air.
In response to media queries from The Straits Times on Sept 26, the national carrier said Flight SQ325, operating from Frankfurt to Singapore on Sept 25, returned to the German city approximately three hours and 40 minutes after take-off because of a technical issue.
The airline did not provide details of the issue faced on board.
The Airbus A380, carrying 401 passengers and 28 crew members, landed uneventfully at 6.57am local time on Sept 26, said SIA. All passengers and crew disembarked normally, it added.
The Changi Airport website shows that the inbound flight, originally scheduled to arrive at 4.05pm on Sept 26, was cancelled.
An average direct flight from Frankfurt to Singapore takes about 12 hours and 30 minutes.
According to Flightradar24, a flight-data site, the aircraft appeared to make a turn back above the Caspian Sea, off Azerbaijan.
All passengers were provided with meal vouchers and hotel accommodation, and alternative flight arrangements will be made for them, said SIA.
“The safety of our customers and crew is always our top priority,” the national carrier said, adding that it “sincerely apologises to all affected customers for the inconvenience caused”.","Straits_Times",2025-11-02 14:59:01.864328
