"headline","link","date_text","snippet","source","scraped_at"
"Over 380,000 discounted SIA, Scoot tickets to go on sale from Oct 24","https://www.straitstimes.com/singapore/over-380000-discounted-sia-scoot-tickets-to-go-on-sale-from-oct-24?ref=search-results","Oct 13, 2025, 11:31 AM","SINGAPORE – More than 200,000 discounted Singapore Airlines (SIA) tickets and over 180,000 discounted Scoot tickets will go on sale from Oct 24.
These are for SIA flights from January to September 2026, and Scoot flights from November 2025 to October 2026, the airlines said in a joint statement on Oct 13. Scoot is the low-cost subsidiary of SIA.
The promotional fares will be available during its upcoming Time To Fly travel fair, with online sales from Oct 24 to Nov 6 via the SIA and Scoot websites and mobile applications, and through appointed travel agents.
The discounted tickets can also be bought at the physical travel fair from Oct 24 to 26, at Suntec Singapore Convention and Exhibition Centre halls 401, 402 and 403, said the airlines.
For SIA flights, the promotion will apply to round-trip tickets across business, premium economy and economy classes from Singapore to 77 global destinations, including Brisbane, Frankfurt, Ho Chi Minh City, San Francisco and Taipei.
For Scoot, the discounts apply only to one-way flights to more than 61 destinations across its Asia-Pacific and European network, including new destinations Chiang Rai, Da Nang, Nha Trang, Tokyo (Haneda) and Vienna.
SIA’s senior vice-president for sales and marketing Vinod Kannan said the travel fair, which has become an annual highlight for Singapore-based customers, gives them “greater choice and fantastic value” as they plan their 2026 holidays.
The three-day physical travel fair also includes a lucky draw, where one winner will receive three pairs of SIA business class return tickets to Beijing, Manila and Sydney, with hotel accommodation in each city. Other prizes include SIA business class return tickets to Denpasar, Osaka and Male with hotel stays, as well as Scoot vouchers worth up to $2,000.
For more information, visit SIA’s Time To Fly website. Details on Scoot’s travel deals will be available on its website from Oct 24.","Straits_Times",2025-11-02 14:59:08.035961
"Plane Truths: Cabin crew spill the beans on how to handle difficult passengers, turbulence and more","https://www.straitstimes.com/life/travel/plane-truths-cabin-crew-spill-the-beans-on-how-to-handle-difficult-passengers-turbulence-and-more?ref=search-results","Oct 13, 2025, 3:15 PM","SINGAPORE – When Singaporean flight attendant Niki Adlina, 27, received the “golden call” from Dubai-based airline Emirates informing her that she had passed the final interview, she was ecstatic.
Becoming a cabin crew member had been her dream since childhood. In August 2022, within a month of receiving the call, she packed her bags for Dubai to start a new life.","Straits_Times",2025-11-02 14:59:14.062416
"Pilots demand India ground Boeing 787 planes after emergency system unexpectedly activated","https://www.straitstimes.com/asia/south-asia/pilots-demand-india-ground-boeing-787s-to-investigate-use-of-emergency-system?ref=search-results","Oct 7, 2025, 12:56 AM","NEW DELHI - India’s largest association of pilots has asked regulators to ground all Boeing 787s in India to inspect for electrical issues after one of the planes unexpectedly deployed an emergency power system over the weekend.
The device, known as the ram air turbine, drops from the fuselage when a plane loses power or hydraulic pressure, and helps power critical systems such as flight controls and navigation instruments.
The device deployed during Air India Flight 117, which landed safely in Birmingham, England, on Oct 4.
Air India, the country’s largest air carrier, said in a statement that an initial inspection found that “all electrical and hydraulic parameters” were normal with the flight.
But the pilots’ association, the Federation of Indian Pilots, called for all Boeing 787s in use in India to undergo electrical inspection. Air India operates 34 Boeing 787s, according to a document on its website from April.
“I have never heard of the RAT (ram air turbine) being deployed automatically without any hydraulic loss, power loss or failures,” said Captain Charanvir Singh Randhawa, president of the association, which represents more than 6,000 pilots across India.
Air India did not immediately respond to a request for comment.
Mr Siddhant Chauhan, a Boeing spokesman, referred questions to India’s Aircraft Accident Investigation Bureau, which did not immediately respond.
The flight on Oct 4 was the second time since June that a ram air turbine was deployed on an Air India Boeing 787.
On June 12, Air India Flight 171 also used the turbine on a flight headed to London, which crashed 30 seconds after take-off from Sardar Vallabhbhai Patel International Airport in the western Indian city of Ahmedabad. The crash killed 241 of the 242 people on board and 19 others on the ground.
A preliminary report into that accident confirmed that the device activated when the plane lost power. But investigators are still working to determine whether the turbine was a symptom or a cause of the aircraft’s loss of power.
Mr Randhawa said the association had sent a letter on Oct 5 to the Directorate General of Civil Aviation, the national regulator, saying that an electrical fault could have caused the ram air turbine to deploy unexpectedly.
The agency has yet to publicly confirm whether it will investigate the Oct 4 Air India flight incident, and has also not responded to questions about the claims made by the pilots’ group. NYTIMES","Straits_Times",2025-11-02 14:59:19.762548
"Welcome on board: SIA’s new in-flight safety video features iconic Singapore landmarks","https://www.straitstimes.com/singapore/welcome-on-board-sia-launches-new-in-flight-safety-video-featuring-iconic-singapore-landmarks?ref=search-results","Sep 4, 2025, 12:40 PM","SINGAPORE – Singapore Airlines (SIA) has launched a new in-flight safety video featuring some of the country’s well-loved and iconic landmarks, such as the Esplanade and Gardens by the Bay.
SIA and the Singapore Tourism Board (STB) said in a joint statement on Sept 4 that the video will progressively be screened on all SIA flights from end-October.
In the 5min 39sec-long video, viewers follow two SIA cabin crew members on their journey around Singapore, which begins at Gardens by the Bay’s Cloud Forest.
Along the way, they enlist the help of local communities – such as a lion dance troupe, kolam artists, silat practitioners and an aqua aerobics team – to demonstrate in-flight safety procedures.
At Jurong Lake Gardens, for instance, a lion dance performer demonstrates take-off and landing procedures, including securing tray tables and positioning seats upright.
Viewers are then taken to a Housing Board flat, where a family feasting on durians at the dinner table demonstrates how to use an oxygen mask.
The video goes on to feature locations such as Tanjong Beach on Sentosa, the Village Hotel Sentosa and Lau Pa Sat, before rounding off at the Esplanade. It then pans out with an aerial view of Singapore’s famous night skyline.
Mr Vinod Kannan, senior vice-president of sales and marketing at SIA, said he hopes the video resonates with those living in Singapore and “evokes a sense of home whenever they watch it on board”.
He added that each scene was carefully designed to reinforce essential safety messages, as safety remains the airline’s absolute priority.
The video combines real-life footage with watercolour effects, which SIA and STB said draws inspiration from Singapore’s vibrant arts landscape.
Mr Kenneth Lim, STB’s marketing group assistant chief executive, said its strategic partnership with SIA allows Singapore’s distinct character to be showcased to millions of travellers worldwide, and reinforces Singapore’s position as a preferred destination for business and leisure.
The new in-flight safety video can be viewed on SIA’s social media pages from Sept 4.","Straits_Times",2025-11-02 14:59:25.8335
"Bali-bound AirAsia flight returns to Perth shortly after take-off due to engine issue","https://www.straitstimes.com/asia/bali-bound-airasia-flight-returns-to-perth-shortly-after-take-off-due-to-engine-issue?ref=search-results","Aug 26, 2025, 12:58 PM","An AirAsia flight bound for Bali returned to Perth Airport shortly after take-off on Aug 24 as a precautionary measure after crew members found an issue in one of the engines.
AirAsia Flight QZ545 departed at about 6.30pm, reported Australian news outlet 9News. It circled near Rottnest Island, off the coast of western Australia, and burned fuel to make it a safe weight for landing before touching down at the airport.
The Airbus A320 was carrying 108 passengers and six crew members, AirAsia said in a statement published on its website on Aug 25.
9News reported that passengers saw flames coming out of an engine. The news outlet said a passenger sitting in the exit row reported seeing an explosion and flames, initially thinking it was lightning.
A video uploaded by 9News shows flashes of orange light illuminating one of the plane’s engines mid-flight.
“Shortly after take-off, the flight crew observed an abnormality in one of the engines, which was swiftly stabilised in accordance with standard operating procedures,” AirAsia said.
“After assessing the situation, the crew decided to conduct a turnback in line with operational safety and completed all required checklists before landing safely at Perth Airport.”
The aircraft landed safely at about 7.50pm local time. Passengers and crew members disembarked the aircraft without incident, said the airline.
AirAsia Indonesia’s chief executive Achmad Sadikin said the incident was a “precautionary turnback” and that the crew responded swiftly and in full accordance with established procedures.
The crew kept passengers informed throughout the situation and arrangements were made to support their needs at the airport, he added.
Alternative arrangements were made for all passengers to fly on Flight QZ547, which departed Perth at 3.29am on Aug 25 and arrived in Denpasar, Bali, at 7.26am local time, Captain Achmad said.
“Our team was focused on minimising the impact of the disruption to travellers, and we thank our guests sincerely for their patience and understanding.”","Straits_Times",2025-11-02 14:59:31.909453
"United Airlines grounds flights at US airports over tech glitch","https://www.straitstimes.com/world/united-states/united-airlines-grounds-flights-at-us-airports-over-technology-glitch?ref=search-results","Aug 7, 2025, 10:05 AM","WASHINGTON – United Airlines said it had grounded its flights at US airports on Aug 6 due to a technology issue and warned of additional flight delays in the evening.
“Due to a technology issue, we are holding United mainline flights at their departure airports,” the airline said.
United suffered an outage of its weight calculation system, a source familiar with the matter told Reuters.
“The issue affecting United Airlines flights has been resolved and mainline flights are departing once again,” flight tracking website FlightRadar24 said on social media at 9.19pm Eastern Time (9.19am Singapore time, Aug 7).
The US Federal Aviation Administration said earlier that it had issued a ground stop for United flights at several US airports.
The ground stops were issued at major United hub airports including Newark, Denver, Houston and Chicago, according to the regulator’s website.
As at 9.25pm Eastern Time, flight tracking data from FlightAware showed that 870, or 28 per cent, of United flights had been delayed on Aug 6.
United’s outage came a few weeks after Alaska Airlines grounded all of its flights for about three hours due to an information technology outage for the second time in just over a year.
In April 2024, Alaska grounded its entire fleet due to an issue with the system that calculates the weight and balance of its planes. REUTERS","Straits_Times",2025-11-02 14:59:37.582159
"‘For one last time, let’s go home’: Tears, laughs as last scheduled Jetstar Asia flight touches down","https://www.straitstimes.com/singapore/transport/for-one-last-time-lets-go-home-tears-laughs-as-last-scheduled-jetstar-asia-flight-touches-down?ref=search-results","Jul 31, 2025, 10:35 PM","SINGAPORE – Mr Norazman Sapiie had tears in his eyes and a smile on his face as he readied the aircraft for departure, for the last time in his 20-year career as a flight attendant with Jetstar Asia.
After blowing kisses and waving goodbye to ground staff who had gathered on the tarmac and the aerobridge at Manila’s Ninoy Aquino International Airport, the in-flight customer service manager took a deep breath, eyes closed as he turned away from the door.
As the aircraft picked up speed and lifted off, Mr Norazman said: “Cabin crew, for one last time, let’s go home.”
Mr Norazman, 57, is Jetstar Asia’s longest-serving flight attendant, after joining the airline in October 2004.
The flight he was operating, 3K764, was Jetstar Asia’s last scheduled flight as the curtain fell on the budget carrier, more than 20 years since its maiden flight in December 2004.
It departed Manila slightly behind schedule at about 6pm, with 156 passengers and seven crew members aboard the Airbus A320.
There was rousing applause from passengers after the flight touched down at Changi Airport at 9.18pm.
The Straits Times was invited to be on board the flight.
Jetstar Asia announced in June that it would stop operations on July 31 and retrench more than 500 employees, including over 100 pilots and nearly 300 cabin crew.
Australian flag carrier Qantas, its parent company, said rising costs and stiff competition in the region had dented Jetstar Asia’s ability to offer low fares.
The first time Ms Tikka Cheung, 35, flew Jetstar Asia, it was out of necessity, as she had missed an AirAsia flight bound for Kuala Lumpur.
That flight kick-started many trips with the airline for Ms Cheung, a teacher from Hong Kong.
When she heard of Jetstar Asia’s closure, she was determined to be on the final flight “for the memories”, she told ST before boarding.
She landed in Manila in the early hours of July 31 with her friend Herman Yip, also 35. The pair had travelled from Hong Kong to be on the last flight.
“It’s a very sad moment,” said Mr Yip, an aviation enthusiast who works for a travel media company in Hong Kong.
He carried on board a flight logbook that he asks crew on “special flights” to fill in, including details such as how many passengers were on board.
Also aboard were Mrs Jester Agarrado, 45, and her 18-year-old son Josh, who had also specially travelled to Manila to take Jetstar Asia’s final flight.
Mrs Agarrado’s husband, Captain Roy Espinosa Agarrado, has been a pilot at Jetstar Asia for 18 years and travelled on Flight 3K764 as a passenger.
“I want to show my support for Roy and the Jetstar Asia crew,” she said. “He has worked so hard for the past 18 years.”
Josh was only a few months old when the family, hailing from the Philippines, relocated to Singapore for his father’s job.
He said: “My dad’s been working hard (my whole life)… this is the least I can do for my dad, to show him that I care.” Josh wants to follow in his father’s footsteps and become a pilot.
For housewife Joy Garcia, it was her first time flying Jetstar Asia – and also her last.
She said it was memorable to be on the final flight. “I’m happy, but at the same time, I’m sad,” said the 42-year-old, who is from the Philippines and is based in Singapore.
While waiting to board, her five-year-old son Jodel made a poster encouraging Jetstar Asia staff.
Mr Barathan Pasupathi, a former chief executive of Jetstar Asia who helmed the airline from July 2012 to February 2024, was also on board.
He said he was joining the last flight in his personal capacity.
“It’s extremely personal for me,” said Mr Barathan, now chief executive of Jazeera Airways, a low-cost airline in Kuwait.
Speaking to ST before boarding Flight 3K764, he said: “It is a final chapter for Jetstar Asia, and I wanted to be there for the airline, and more so for the people.
“Singapore is going to lose a star, but the people will carry on.”
In an announcement before the plane made its descent, Mr Norazman thanked “every passenger who walked through our doors”.
“You have not just filled our seats; you have filled our hearts,” he said, pausing to blink back tears.
Captain Mark Yeo, the commander of the flight, made a similar announcement before the plane started its descent into Singapore, drawing cheers and applause from passengers.
“It’s a bitter-sweet feeling,” Capt Yeo, 53, told ST from the cockpit, minutes after landing the aircraft. He said he was honoured to helm the final flight.
Capt Yeo has been a pilot at Jetstar Asia for 18 years.
After landing, Mr Norazman said into the public address system, to laughs from passengers and crew: “Ladies and gentlemen, as you know, after today, we will be ‘funemployed’.”
The crew received a hero’s welcome from hundreds of people waiting at the arrival hall. Chants of “Jetstar, Jetstar” were heard, with cheers erupting every time a crew member walked out.
The largest cheers were for Mr Norazman, who could not control his tears when those gathered started chanting his name, and pulling him into hugs and selfies.
“The welcome was so overwhelming. I’m out of tears now,” he said, adding that it was hard to describe the intensity of the moment the wheels hit the tarmac, with the last flight now over.
“After 20 years, it’s hard to let go for the last time... I feel so blessed to have the people that are around me.”
Waiting just outside the aircraft to welcome the crew home was Jetstar Asia chief executive John Simeone, who said the day had been an emotional one. “We are all really proud of just what (the crew) have achieved over the years,” he added.
Owing to a delay, another Jetstar Asia flight from Labuan Bajo in Indonesia landed after Flight 3K764, closing a chapter for the airline.","Straits_Times",2025-11-02 14:59:44.601586
"SIA, Scoot, Cathay Pacific cancel flights as typhoon nears Hong Kong","https://www.straitstimes.com/asia/east-asia/cathay-pacific-cancels-sunday-flights-as-typhoon-nears-hong-kong?ref=search-results","Jul 19, 2025, 6:30 PM","HONG KONG - Singapore Airlines and Cathay Pacific Airways delayed and cancelled flights in and out of Hong Kong on July 20 as tropical cyclone Wipha approached the city.
According to the Singapore carrier’s website, two flights to Hong Kong from Changi Airport on July 20 have been cancelled – SQ874 and SQ882.
Another three flights from Hong Kong which were due to land in Singapore on the same day have also been cancelled – SQ899, SQ875 and SQ883.
SIA also said that two flights on July 20 will be rescheduled to a later time.
SQ892, which was originally set to depart Singapore for Hong Kong at 9.50am, will be pushed back to 11.50am.
Meanwhile, SQ893 from Hong Kong to Singapore will now similarly depart two hours later at 5.40pm, instead of 3.40pm.
The impending storm has also led to the cancellation of two flights (SQ856 and SQ857) between Singapore and Shenzhen, which is near Hong Kong.
“As the situation remains fluid, other SIA flights between Singapore, Shenzhen and Hong Kong may be affected,” the airline said on its website.
Separately, low-cost carrier Scoot said in a media reply that it has cancelled two flights between Singapore and Macau on July 20 due to the typhoon – TR904 and TR905.
The Singaporean carrier said it will help affected customers rebook on other flights, or refund them on request.
On July 19, Cathay Pacific said that all flights scheduled to arrive at or depart from the Hong Kong International Airport between 5am and 6pm will either be delayed or cancelled.
The company will rebook alternatives for affected customers, according to its statement.
The Hong Kong Observatory said it would issue typhoon Signal 8, the third-highest level, in the early hours of July 20.
As Wipha moves closer to the coast of Guangdong, winds will strengthen and there will be frequent heavy showers and thunderstorms in the region, according to the Observatory.
The Education Bureau said all special classes and other school events would be suspended on July 20.
The Airport Authority expects that many flights will be affected and that it will take one to two days for them to fully return to schedule, a representative said in a media briefing. BLOOMBERG
Additional reporting by Calista Wong","Straits_Times",2025-11-02 14:59:51.077767
"SIA flight from Brisbane to Singapore diverted to Perth due to technical issue","https://www.straitstimes.com/singapore/sia-flight-from-brisbane-to-singapore-diverted-to-perth-due-to-technical-issue-report?ref=search-results","Jul 8, 2025, 4:39 PM","SINGAPORE – A Singapore Airlines (SIA) flight from Brisbane to Singapore was diverted to Perth early on July 8 after the aircraft experienced a technical issue while in the air.
Flight SQ246 had departed Brisbane Airport on the night of July 7 and was originally scheduled to arrive at Changi Airport at 5.45am the following morning.
Flight tracking website Flightradar24 showed the plane leaving Brisbane, on the eastern coast of Australia, and travelling towards Broome on the north-western edge of the country before turning south.
In response to queries, SIA said the Airbus A350-900 experienced a technical issue and landed uneventfully in Perth with 272 passengers and 15 crew members at 4.58am local time.
The aircraft required a spare part and additional repair time, Australian publication The West Australian reported a SIA spokesperson as saying.
Passengers were given food and drinks while waiting for a replacement aircraft, the SIA spokesperson added.
Flight SQ246 was then renumbered SQ9224 and departed Perth on July 8 at around 4.40pm local time and was estimated to arrive in Singapore at around 9.40pm.
“We are providing all necessary assistance to the affected passengers, including the rebooking of connecting flights and hotel accommodation in Singapore, if required,” the SIA spokesperson said.
“SIA sincerely apologises to all affected passengers for any inconvenience caused.”","Straits_Times",2025-11-02 14:59:57.022023
"Aerobridge hits Qantas plane at Sydney Airport, damaging engine, delaying flight","https://www.straitstimes.com/asia/australianz/aerobridge-hits-qantas-plane-at-sydney-airport-damaging-engine-delaying-flight?ref=search-results","Jul 12, 2025, 8:30 PM","A Qantas flight from Sydney to Johannesburg was delayed by 21 hours on July 12 after an aerobridge struck the aircraft during ground operations, leaving hundreds of passengers stranded.
The incident took place at Sydney Airport’s international terminal, where Qantas flight QF 63 was preparing to depart for South Africa’s largest city at 9.30am local time (7.30am Singapore time).
During the process, an aerobridge hit the Airbus A380 at its departure gate, according to reports.
The aerobridge functions as a movable walkway. It can extend, retract and pivot to align perfectly with different aircraft doors, allowing passengers to board and disembark efficiently.
Images posted on social media show one of the Airbus A380’s four Rolls-Royce engines pierced by the aerobridge’s support beam.
No injuries were reported. Passengers on board were safely disembarked from the lower deck of the double-decker aircraft, Qantas said.
According to a report by Australian broadcaster ABC News, the national carrier said it would provide overnight accommodation and transport in Sydney to passengers affected by the delay, if required.
The flight, which typically takes about 15 hours to reach Johannesburg, was carrying about three-quarters of its capacity of more than 480 passengers, ABC reported.
It is now expected to depart at 6.30am local time on July 13 instead.
Engineers are currently assessing the damage, and the aircraft will be repaired before it re-enters service with the airline’s international fleet.
Sydney Airport said it was working closely with Qantas to support the impacted travellers.
“Earlier today there was an incident involving a Qantas aircraft making contact with an aerobridge during ground operations,” the airport said in a statement.","Straits_Times",2025-11-02 15:00:04.052756
