model,dataset,type,accuracy,f1_score
Logistic Regression,Test,3-Class,0.2463768115942029,0.239852047738802
Random Forest,Test,3-Class,0.2608695652173913,0.25688859591298613
XGBoost,Test,3-Class,0.18840579710144928,0.1778540835917885
Logistic Regression,Training,3-Class,0.47151898734177217,0.41799665996387303
Random Forest,Training,3-Class,1,1
XGBoost,Training,3-Class,1,1
Logistic Regression,Validation,3-Class,0.5970149253731343,0.4507503699006552
Random Forest,Validation,3-Class,0.4477611940298507,0.38149504816171487
XGBoost,Validation,3-Class,0.3880597014925373,0.35945419103313836
Logistic Regression,Test,Binary,0.6666666666666666,0.780952380952381
Random Forest,Test,Binary,0.5797101449275363,0.6947368421052632
XGBoost,Test,Binary,0.4782608695652174,0.5909090909090908
Logistic Regression,Training,Binary,0.6139240506329114,0.7239819004524888
Random Forest,Training,Binary,1,1
XGBoost,Training,Binary,0.9873417721518988,0.9894736842105264
Logistic Regression,Validation,Binary,0.5223880597014925,0.5897435897435898
Random Forest,Validation,Binary,0.5223880597014925,0.6190476190476191
XGBoost,Validation,Binary,0.5223880597014925,0.6190476190476191
